 79  70  68  58  50  59  52  55  61  64  66  81  54  54  58  77
 85  72  96  62  85  80  69  74  68  70  67  65  67  55  64  66
 57  71  80  61  59  59  61  57  46  44  55  76  70  57  68  96
 78  76  65  69  80  77  66  59  74  65  58  62  65  68  87  62
 63  68  53  67  73  57  58  51  67  62  91  79  60  72  82  76
 64  71  70  74  62  63  59  58  65  65  63  59  59  70  71  71
 63  62  74  69  62  68  71  50  68  61  75  59  60  61  68  78
 71  64  54  49  61  78  85  77  62  67  89  92  68  77  64  70
 69  89  66  71  77  76 101  63  66  66  91  78  60  70  95  91
 92  69  66  80  75  90  79  86  60  67  56  82  87  58  63  76
 79  72  83  72  63  57  61  78  83  56  66  57  98  72  78  77
 55  67  71  79  71  57  57  78  70  67  67  51  51  71  61  66
 66  58  64  76  81  74  65  74  85  50  48  46  54  63  58  71
 48  74  77  63  76  70  65  60  60  69  62  53  57  55  78  72
 65  74  62  69  82  47  66  59  70  93  65  54  64  57  75  63
 74  86  73  79  82  75  77  57  59  65  80  61  59  62  68  72
 64  58  69  57  76  73  61  64  71  65  82  67  52  77  80  69
 71  51  55  73  58  78  72  75  68  58  63  48  74  62  56  57
 59  58  63  77  56  66  62  75  77  78  86  70  76  81  80  73
 61  72  55  76  63  47  74  70  75  90  70  83  67  75  91  69
 81  73  84  75  68  58  61  49  52  55  35  52  74  84  70  63
 56  64  67  70  63  54  66  71  57  68  68  60  79  49  49  68
 77  60  79  70  65  90  89  81  60  78  66  69  77  84  75  64
 63  71  67  52  56  79  81  79  58 101  63  67  58  76  75  72
 63  70  63  52  69  65  85  54  53  67  82  84  69  72  56  60
 78  78  66  42  56  56  62  51  63  75  54  55  52  75  73  72
 49  60  62  70  83  71  60  71  74  55  72  55  52  83  93  57
 70  74  67  68  81  71  56  62  55  76  75  58  59  45  68  63
 66  61  52  52  72  54  73  64  52  46  71  73  67  49  58  65
 48  66  61  83  84  55  80  56  85  66  51  63  76  80  71  62
 65  49  75  68  82  53  71  62  66  71  56  71  65  61  47  61
 74  58  54  67  59  76  55  66  53  78  59  72  69  45  52  51
 50  70  67  73  72  73  58  65  62  66  68  66  80  56  64  90
 73  77  70  66  58  91  82  51  50  68  68  68  55  49  80  76
 79  68  68  77  65  67  69  82  55  61  61  74  58  72  61  73
 56  57  67  83  69  77  70  67  74  75  62  90  85  89  68  62
 66  81  86  73  84  84  78  86  81  69  86  68  60  68  68  77
 79  71  65  70  79  81  85  74  67  56  60  74  64  53  70  58
 62  71  65  77 102  88  82  61  64  73  65  79  64  83  71  71
 82  90  94  67  75  96  85  75  76  71  71  83  56  59  87  54
 75  94  92  70  56  83  86  81  58  55  56  69  84  63  78  84
 80  59  84  70  68  72  57  66  78  79  77  49  60  72  67  54
 53  46  62  70  72  76  72  70  71  75  82  78  62  68  82  69
 91  58  66  80  68  62  68  73  79  70  72  73  66  69  73  93
 80  70  52  59  64  71  72  72  69  75  68  58  79  70  72  56
 66  75  75  62  63  68  73  72  75  64  86  79  72  78  87  79
 70  78  56  86  76  98  60  78  69  72  64  59  83  77  58  73
 82  79  54  67  72  70  63  54  64  71  72  86  57  56  61  70
 69  56  53  54  76  78  63  59  73  73  76  55  66  75  75  77
 66  86  76  56  61  64  68  58  97  73  65  66  73  64  77  58
 46  48  52  51  61  50  63  70  58  68  61  72  78  71  61  64
 77  80  55  88  80  59  71  80  58  78  70  66  81  79  69  75
 75  75  91  85  91  79  74  64  65  78  70  94  79  68  79  83
 73  68  79  87  74  60  53  71  82  85  89  70  64  78  86  91
 68  60  64  73  74  63  52  65  75  77  81  61  58  75  71  64
 58  63  61  71  58  61  54  44  77  68  58  62  67  64  75  57
 50  60  63  62  72  59  58  68  65  69  63  71  64  70  69  73
 61  59  65  80  59  62  69  84  74  70  60  77  52  55  65  72
 74  57  60  78  70  68  69  70  69  93  65  57  53  71  54  45
 66  67  52  57  55  61  70  70  73  57  55  58  50  71  58  58
 64  65  75  67  56  73  52  70  80  61  68  61  72  88  77  60
 58  74  90  67  61  62  48  67  68  70  62  71  73  87  67  67
 71  63  78  89  72  68  72  68  62  58  75  66  68  60  57  66
 77  63  72  60  61  70  72  65  61  52  52  49  64  64  56  63
 63  58  74  89  63  45  65  88  82  76  75  92  74  66  76  63
 87  55  80  82  64  67  58  72  64  79  57  74  83  66  68  63
 69  57  66  66  63  51  92  76  59  76  78  72  81  71  71  75
 82  75  62  80  83  75  83  62  56  97  77  77  67  83  70  71
 65  56  69  89  57  77  69  88  71  69  66  54  63  73  82  58
 69  83  69  70  73  87  76  89  91  84  82  74  76  53  58  89
 85  59  51  57  55  73  78  78  69  84  62  70  73  71  86  59
 71  58  63  75  69  66  50  72  71  80  71  63  61  80  97  70
 77  69  71  55  57  66  71  74  62  79  67  71  85  80  68  59
 69  66  51  90  61  68  74  75  71  63  58  79  58  67  65  66
 57  85  80  84  67  55  67  81  68  68  54  57  81  63  82  61
 56  79  84  77  61  79  63  68  61  68  46  64  69  66  54  75
 78  71 103  59  59  68  72  74  71  66  81  58  71  88  81  71
 66  55  40  52  65  75  66  67  78  61  64  58  64  47  64  70
 76  71  58  60  60  85  65  62  72  63  64  66  69  81  59  82
 72  70  78  59  61  84  74  78  55  78  92  79  76  72  95  62
 90  59  65  72  93  64  65  69  66  77  80  66  85  74  77  72
 78  79  58  60  58  55  76  82  70  61  70  87  66  88  60  78
 83  79  87  86  64  67  77  80  58  74  70  79  75  71  66  73
 84  64  76  57  49  68  81  63  57  56  62  65  54  62  83  63
 47  68  79  61  60  60  69  71  73  51  51  50  58  55  79  60
 44  55  68  78  79  52  58  74  71  78  58  66  84  72  67  73
 62  70  91  74  89  72  58  67  66  76  86  58  66  61  59  69
 66  67  71  79  80  75  71  65  67  70  72  93  77  65  48  66
 84  71  58  58  75  69  80  66  68  78  84  76  76  66  89  65
 81  65  82  82  83  78  77  74  75  57  80  69  61  84  76  68
 71  81  68  64  63  68  68  75  73  77  61  68  57  71  76  71
 64  78  78  72  57  80  66  67  64  86  68  71  57  69  80  91
 70  53  79  74  67  61  58  49  72  62  54  45  50  72  72  65
 77  73  74  70  65  61  50  55  61  53  52  56  62  46  75  63
 71  58  67  67  57  66  52  44  71  59  73  59  61  53  64  44
 52  85  54  63  69  65  72  51  74  89  73  59  60  71  70  60
 74  72  69  88  82  76  63  51  73  70  79  73  60  54  66  80
 84  60  76  81  77  63  83  76  70  64  53  76  63  60  78  76
